date,year,semester,quarter,month,month_name,month_start,month_end,day,day_of_week,day_name,week_of_year,week_of_month
2017-08-15,2017,2,3,8,August,2017-08-01,2017-08-31,15,2,Tuesday,33,3
2017-08-16,2017,2,3,8,August,2017-08-01,2017-08-31,16,3,Wednesday,33,3
2017-08-17,2017,2,3,8,August,2017-08-01,2017-08-31,17,4,Thursday,33,3
2017-08-18,2017,2,3,8,August,2017-08-01,2017-08-31,18,5,Friday,33,3
2017-08-19,2017,2,3,8,August,2017-08-01,2017-08-31,19,6,Saturday,33,3
2017-08-20,2017,2,3,8,August,2017-08-01,2017-08-31,20,7,Sunday,33,3
2017-08-21,2017,2,3,8,August,2017-08-01,2017-08-31,21,1,Monday,34,4
2017-08-22,2017,2,3,8,August,2017-08-01,2017-08-31,22,2,Tuesday,34,4
2017-08-23,2017,2,3,8,August,2017-08-01,2017-08-31,23,3,Wednesday,34,4
2017-08-24,2017,2,3,8,August,2017-08-01,2017-08-31,24,4,Thursday,34,4
2017-08-25,2017,2,3,8,August,2017-08-01,2017-08-31,25,5,Friday,34,4
2017-08-26,2017,2,3,8,August,2017-08-01,2017-08-31,26,6,Saturday,34,4
2017-08-27,2017,2,3,8,August,2017-08-01,2017-08-31,27,7,Sunday,34,4
2017-08-28,2017,2,3,8,August,2017-08-01,2017-08-31,28,1,Monday,35,5
2017-08-29,2017,2,3,8,August,2017-08-01,2017-08-31,29,2,Tuesday,35,5
2017-08-30,2017,2,3,8,August,2017-08-01,2017-08-31,30,3,Wednesday,35,5
2017-08-31,2017,2,3,8,August,2017-08-01,2017-08-31,31,4,Thursday,35,5
2017-09-01,2017,2,3,9,September,2017-09-01,2017-09-30,1,5,Friday,35,1
2017-09-02,2017,2,3,9,September,2017-09-01,2017-09-30,2,6,Saturday,35,1
2017-09-03,2017,2,3,9,September,2017-09-01,2017-09-30,3,7,Sunday,35,1
2017-09-04,2017,2,3,9,September,2017-09-01,2017-09-30,4,1,Monday,36,1
2017-09-05,2017,2,3,9,September,2017-09-01,2017-09-30,5,2,Tuesday,36,1
2017-09-06,2017,2,3,9,September,2017-09-01,2017-09-30,6,3,Wednesday,36,1
2017-09-07,2017,2,3,9,September,2017-09-01,2017-09-30,7,4,Thursday,36,2
2017-09-08,2017,2,3,9,September,2017-09-01,2017-09-30,8,5,Friday,36,2
2017-09-09,2017,2,3,9,September,2017-09-01,2017-09-30,9,6,Saturday,36,2
